tag,path,summary,required_params,all_params
Margin Forecast,/forecast/margin/daily/evolution,Evolution daily margin forecast (OCNMFD2),forecastDate,"forecastDate,format"
Margin Forecast,/forecast/margin/daily/history,Historical daily margin forecast (OCNMFD2),publishTime,"publishTime,format"
Margin Forecast,/forecast/margin/weekly,"Weekly margin forecast (OCNMFW2, OCNMF3Y2)",,"range,format"
Margin Forecast,/forecast/margin/weekly/evolution,"Evolution daily margin forecast (OCNMFW2, OCNMF3Y2)","year,week","year,week,range,format"
Margin Forecast,/forecast/margin/weekly/history,"Historical weekly margin forecast (OCNMFW2, OCNMF3Y2)",publishTime,"publishTime,range,format"
Market Index,/balancing/pricing/market-index,Market Index Data (MID) price time series,"from,to","from,to,settlementPeriodFrom,settlementPeriodTo,dataProviders,format"
Non-BM STOR,/balancing/nonbm/stor,Non-BM STOR time series (NONBM),"from,to","from,to,settlementPeriodFrom,settlementPeriodTo,includeZero,format"
Non-BM STOR,/balancing/nonbm/stor/events,Non-BM STOR events (NONBM),count,"count,before,settlementPeriodBefore,format"
Non-BM Volumes,/balancing/nonbm/volumes,Balancing services volume (QAS),"from,to","from,to,settlementPeriodFrom,settlementPeriodTo,bmUnit,format"
REMIT,/remit,Bulk fetch message details by IDs,messageId,"messageId,format"
REMIT,/remit/list/by-event,List messages by event time,"from,to","from,to,participantId,assetId,messageType,unavailabilityType,eventType,fuelType,latestRevisionOnly,profileOnly,format"
REMIT,/remit/list/by-event/stream,List messages by event time (stream),"from,to","from,to,participantId,assetId,messageType,unavailabilityType,eventType,fuelType,latestRevisionOnly,profileOnly"
REMIT,/remit/list/by-publish,List messages by publish time,"from,to","from,to,participantId,assetId,messageType,unavailabilityType,eventType,fuelType,latestRevisionOnly,profileOnly,format"
REMIT,/remit/list/by-publish/stream,List messages by publish time (stream),"from,to","from,to,participantId,assetId,messageType,unavailabilityType,eventType,fuelType,latestRevisionOnly,profileOnly"
REMIT,/remit/revisions,List all message revisions,,"mrid,messageId,format"
REMIT,/remit/search,Fetch message details by mRID,mrid,"mrid,revisionNumber,format"
REMIT,/remit/{messageId},Fetch message details by ID,messageId,"messageId,format"
Reference,/reference/bmunits,BM Units (filtered),,partyIds
Reference,/reference/bmunits/all,BM Units,,
Reference,/reference/fueltypes/all,Fuel types,,
Reference,/reference/interconnectors/all,Interconnectors,,
Reference,/reference/remit/assets/all,Assets,,
Reference,/reference/remit/fueltypes/all,REMIT fuel types,,
Reference,/reference/remit/participants/all,Participants,,
SAA Datasets,/saa/datasets/total-exempt-volume/{settlementDate},Total Exempt Supply Volume (S0621),settlementDate,"settlementDate,settlementRunType,format"
SO-SO Prices,/soso/prices,SO-SO prices (SOSO),"from,to","from,to,format"
Surplus Forecast,/forecast/surplus/daily,Daily surplus forecast (OCNMFD),,format
Surplus Forecast,/forecast/surplus/daily/evolution,Evolution daily surplus forecast (OCNMFD),forecastDate,"forecastDate,format"
Surplus Forecast,/forecast/surplus/daily/history,Historical daily surplus forecast (OCNMFD),publishTime,"publishTime,format"
Surplus Forecast,/forecast/surplus/weekly,"Weekly surplus forecast (OCNMFW, OCNMF3Y)",,"range,format"
Surplus Forecast,/forecast/surplus/weekly/evolution,"Evolution weekly surplus forecast (OCNMFW, OCNMF3Y)","year,week","year,week,range,format"
Surplus Forecast,/forecast/surplus/weekly/history,"Historical weekly surplus forecast (OCNMFW, OCNMF3Y)",publishTime,"publishTime,range,format"
System,/system/demand-control-instructions,Demand control instructions (DCI),,"from,to,format"
System,/system/frequency,System frequency (FREQ),,"from,to,format"
System,/system/frequency/stream,System frequency (FREQ) stream,,"from,to"
System,/system/warnings,System warnings (SYSWARN),,"warningType,publishDateTimeFrom,publishDateTimeTo,format"
System forecast,/forecast/system/loss-of-load,Loss of load probability and de-rated margin forecast (LOLPDRM),"from,to","from,to,settlementPeriodFrom,settlementPeriodTo,format"
Temperature,/temperature,Temperature data (TEMP),,"from,to,format"
